Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
classic-white-marble-coffee-table,Classic White Marble Coffee Table with Storage Shelf,"<p>Elevate your living room instantly with this Classic White Marble Coffee Table. Dressed in a striking Calacatta marble-effect top, this table is the centrepiece your space deserves — without the premium price tag. The lower storage shelf keeps everyday clutter out of sight while adding depth to the design.</p><ul><li>Calacatta marble-effect white top</li><li>Dark charcoal engineered wood base</li><li>Lower open storage shelf</li><li>Modern minimalist silhouette</li><li>Floor display — clearance unit</li></ul><hr><p><strong>NOTE: THIS IS A CLEARANCE PRODUCT AND IT IS NOT REFUNDABLE AND NOT RETURNABLE ONCE BOUGHT.</strong><br>No warranty. Clearance item. What you see is what you get. View physically at 69 Sungei Kadut Drive, Singapore 729568 before purchase.<br><br>#coffeetable #marbletable #whitecoffeetable #livingroomsg #clearancefurniture #sofacolony #whatyouseewhatyouget #homesg</p>",Sofa Colony,Coffee Tables,"coffee table, white marble coffee table, marble, calacatta, living room, storage, modern, clearance, singapore, marble coffee table singapore",TRUE,,,,,,,,SC-CLT-CT-WHT,12000,shopify,1,deny,manual,399.00,,TRUE,TRUE,,https://cdn.shopify.com/placeholder,1,Classic White Marble Coffee Table with Storage Shelf Singapore,FALSE,Classic White Marble Coffee Table with Storage Shelf | Sofa Colony Singapore,Classic white marble coffee table with dark storage base. Clearance $399. View physically at 69 Sungei Kadut Drive Singapore. Shop Sofa Colony.,,,,,,,,,,,,,,kg,,,active
glamour-white-marble-quilted-tv-console,Glamour White Marble Quilted TV Console,"<p>Bring hotel-lobby glamour into your home with this Glamour White Marble Quilted TV Console. The standout diamond-quilted front panel sits beneath a clean white marble-effect top, creating a luxe focal point in any living room. Open side storage keeps your essentials within easy reach.</p><ul><li>White marble-effect top</li><li>Diamond-quilted front panel in warm champagne</li><li>Open storage compartment</li><li>Slim dark metal legs</li><li>Floor display — clearance unit</li></ul><hr><p><strong>NOTE: THIS IS A CLEARANCE PRODUCT AND IT IS NOT REFUNDABLE AND NOT RETURNABLE ONCE BOUGHT.</strong><br>No warranty. Clearance item. What you see is what you get. View physically at 69 Sungei Kadut Drive, Singapore 729568 before purchase.<br><br>#tvconsole #tvunit #marbletvconsole #quiltedfurniture #clearancefurniture #sofacolony #whatyouseewhatyouget #homesg</p>",Sofa Colony,TV Consoles,"tv console, tv unit, white marble tv console, media console, marble top, quilted tv console, living room, modern, clearance, singapore, tv console singapore",TRUE,,,,,,,,SC-QLT-TV-WHT,15000,shopify,1,deny,manual,399.00,,TRUE,TRUE,,https://cdn.shopify.com/placeholder,1,Glamour White Marble Quilted TV Console Singapore,FALSE,Glamour White Marble Quilted TV Console | Sofa Colony Singapore,White marble-top TV console with diamond-quilted front panel and open storage. Clearance $399. Shop Sofa Colony Singapore.,,,,,,,,,,,,,,kg,,,active
bold-black-marble-tv-console-chrome-legs,Bold Black Marble TV Console with Chrome Legs,"<p>Make a bold statement with this Bold Black Marble TV Console with Chrome Legs. A dramatic black marble-effect top with striking white veining, elevated on a sleek chrome X-frame base. Open shelving gives you easy-access storage while the contrast of dark marble and polished chrome keeps the look sharp and sophisticated.</p><ul><li>Black nero-style marble-effect top with white veining</li><li>Polished chrome X-frame legs</li><li>Open shelving compartments</li><li>Floor display — clearance unit</li></ul><hr><p><strong>NOTE: THIS IS A CLEARANCE PRODUCT AND IT IS NOT REFUNDABLE AND NOT RETURNABLE ONCE BOUGHT.</strong><br>No warranty. Clearance item. What you see is what you get. View physically at 69 Sungei Kadut Drive, Singapore 729568 before purchase.<br><br>#tvconsole #tvunit #blackmarbletvconsole #chrometvconsole #clearancefurniture #sofacolony #whatyouseewhatyouget #homesg</p>",Sofa Colony,TV Consoles,"tv console, tv unit, black marble tv console, media console, black marble, chrome legs, modern, clearance, singapore, black tv console singapore",TRUE,,,,,,,,SC-NRO-TV-BLK,15000,shopify,1,deny,manual,399.00,,TRUE,TRUE,,https://cdn.shopify.com/placeholder,1,Bold Black Marble TV Console with Chrome Legs Singapore,FALSE,Bold Black Marble TV Console with Chrome Legs | Sofa Colony Singapore,Black marble-top TV console with chrome X-frame legs and open shelving. Clearance $399. Shop Sofa Colony Singapore.,,,,,,,,,,,,,,kg,,,active
forest-green-faux-leather-3-seater-sofa,Forest Green Faux Leather 3-Seater Sofa,"<p>Turn heads with this Forest Green Faux Leather 3-Seater Sofa. Upholstered in rich forest green faux leather, this statement sofa transforms any living room into something extraordinary. Extra-thick padded cushions deliver the deep, sink-in comfort you deserve after a long day.</p><ul><li>Rich forest green faux leather upholstery</li><li>Extra-thick padded seat and back cushions</li><li>Sturdy solid frame construction</li><li>3-seater configuration</li><li>Floor display — clearance unit</li></ul><hr><p><strong>NOTE: THIS IS A CLEARANCE PRODUCT AND IT IS NOT REFUNDABLE AND NOT RETURNABLE ONCE BOUGHT.</strong><br>No warranty. Clearance item. What you see is what you get. View physically at 69 Sungei Kadut Drive, Singapore 729568 before purchase.<br><br>#leathersofa #3seatersofa #greensofa #fauxleathersofa #clearancesofa #sofacolony #whatyouseewhatyouget #homesg</p>",Sofa Colony,Sofas,"sofa, 3-seater sofa, faux leather sofa, green sofa, forest green sofa, leather sofa singapore, 3 seater sofa singapore, living room, clearance, singapore",TRUE,,,,,,,,SC-JDE-3S-GRN,45000,shopify,1,deny,manual,499.00,,TRUE,TRUE,,https://cdn.shopify.com/placeholder,1,Forest Green Faux Leather 3-Seater Sofa Singapore,FALSE,Forest Green Faux Leather 3-Seater Sofa | Sofa Colony Singapore,Forest green faux leather 3-seater sofa with extra-thick padded seats. Floor display clearance $499. Shop Sofa Colony Singapore.,,,,,,,,,,,,,,kg,,,active
chic-white-marble-tv-console-chrome-cross-legs,Chic White Marble TV Console with Chrome Cross Legs,"<p>Crisp, clean, and effortlessly chic — this Chic White Marble TV Console with Chrome Cross Legs brings light and elegance to any living room. A soft white marble-effect top sits atop polished chrome cross-frame legs, with open dark shelving providing practical storage. Works beautifully in both minimalist and contemporary interiors.</p><ul><li>White marble-effect top with subtle veining</li><li>Polished chrome cross-frame legs</li><li>Open dark shelving compartments</li><li>Floor display — clearance unit</li></ul><hr><p><strong>NOTE: THIS IS A CLEARANCE PRODUCT AND IT IS NOT REFUNDABLE AND NOT RETURNABLE ONCE BOUGHT.</strong><br>No warranty. Clearance item. What you see is what you get. View physically at 69 Sungei Kadut Drive, Singapore 729568 before purchase.<br><br>#tvconsole #tvunit #whitemarbletvconsole #chrometvconsole #clearancefurniture #sofacolony #whatyouseewhatyouget #homesg</p>",Sofa Colony,TV Consoles,"tv console, tv unit, white marble tv console, media console, white marble, chrome cross legs, modern, clearance, singapore, tv console singapore",TRUE,,,,,,,,SC-BCO-TV-WHT,15000,shopify,1,deny,manual,399.00,,TRUE,TRUE,,https://cdn.shopify.com/placeholder,1,Chic White Marble TV Console with Chrome Cross Legs Singapore,FALSE,Chic White Marble TV Console with Chrome Cross Legs | Sofa Colony Singapore,White marble-top TV console with chrome cross-frame legs and open shelving. Clearance $399. Shop Sofa Colony Singapore.,,,,,,,,,,,,,,kg,,,active
cloud-cream-fabric-curved-3-seater-sofa,Cloud Cream Fabric Curved 3-Seater Sofa,"<p>Meet the sofa that's as much a sculpture as it is a seat. The Cloud Cream Fabric Curved 3-Seater Sofa features a flowing organic silhouette with softly rounded arms and a plush cream fabric finish. Sink into the generously padded seating and let the gentle curves wrap around you — an instant statement piece for any contemporary living room.</p><ul><li>Soft cream fabric upholstery</li><li>Flowing curved organic silhouette</li><li>Generously padded seat and back</li><li>Rounded arm design with scatter cushions</li><li>3-seater configuration</li><li>Floor display — clearance unit</li></ul><hr><p><strong>NOTE: THIS IS A CLEARANCE PRODUCT AND IT IS NOT REFUNDABLE AND NOT RETURNABLE ONCE BOUGHT.</strong><br>No warranty. Clearance item. What you see is what you get. View physically at 69 Sungei Kadut Drive, Singapore 729568 before purchase.<br><br>#fabricsofa #creamsofa #curvedsofa #3seatersofa #clearancesofa #sofacolony #whatyouseewhatyouget #homesg</p>",Sofa Colony,Sofas,"sofa, 3-seater sofa, cream sofa, fabric sofa, curved sofa, organic sofa, cream fabric sofa singapore, 3 seater sofa singapore, living room, clearance, singapore",TRUE,,,,,,,,SC-CLD-3S-CRM,45000,shopify,1,deny,manual,499.00,,TRUE,TRUE,,https://cdn.shopify.com/placeholder,1,Cloud Cream Fabric Curved 3-Seater Sofa Singapore,FALSE,Cloud Cream Fabric Curved 3-Seater Sofa | Sofa Colony Singapore,Cloud cream fabric curved 3-seater sofa with organic silhouette and plush padded seats. Floor display clearance $499. Shop Sofa Colony Singapore.,,,,,,,,,,,,,,kg,,,active
white-marble-oval-nesting-coffee-table-set,White Marble Oval Nesting Coffee Table Set,"<p>Stylish and space-smart — the White Marble Oval Nesting Coffee Table Set gives you two tables in one elegant package. The pair of oval tables feature pristine white marble-effect tops with subtle grey veining, set on sleek matte black arc-frame bases. Use them together as a set or pull them apart for flexible styling across your room.</p><ul><li>Set of 2 oval nesting tables</li><li>White marble-effect tops with grey veining</li><li>Matte black arc-frame metal base</li><li>Space-saving nesting design</li><li>Floor display — clearance unit</li></ul><hr><p><strong>NOTE: THIS IS A CLEARANCE PRODUCT AND IT IS NOT REFUNDABLE AND NOT RETURNABLE ONCE BOUGHT.</strong><br>No warranty. Clearance item. What you see is what you get. View physically at 69 Sungei Kadut Drive, Singapore 729568 before purchase.<br><br>#coffeetable #nestingtable #marbletable #ovaltable #clearancefurniture #sofacolony #whatyouseewhatyouget #homesg</p>",Sofa Colony,Coffee Tables,"coffee table, nesting table, white marble nesting table, oval coffee table, marble coffee table singapore, living room, modern, clearance, singapore, nesting coffee table set",TRUE,,,,,,,,SC-NWT-CT-WHT,14000,shopify,1,deny,manual,399.00,,TRUE,TRUE,,https://cdn.shopify.com/placeholder,1,White Marble Oval Nesting Coffee Table Set Singapore,FALSE,White Marble Oval Nesting Coffee Table Set | Sofa Colony Singapore,Set of 2 white marble-effect oval nesting coffee tables with matte black arc-frame base. Clearance $399. Shop Sofa Colony Singapore.,,,,,,,,,,,,,,kg,,,active
dark-walnut-oval-nesting-coffee-table-set,Dark Walnut Oval Nesting Coffee Table Set,"<p>Warm, natural, and wonderfully versatile — the Dark Walnut Oval Nesting Coffee Table Set brings rich tones and smart functionality to your living room. Two oval tables nest together seamlessly, with rich dark walnut wood-effect tops sitting on a clean light grey arc-frame base. A perfect blend of organic warmth and contemporary design.</p><ul><li>Set of 2 oval nesting tables</li><li>Dark walnut wood-effect tops</li><li>Light grey arc-frame metal base</li><li>Space-saving nesting design</li><li>Floor display — clearance unit</li></ul><hr><p><strong>NOTE: THIS IS A CLEARANCE PRODUCT AND IT IS NOT REFUNDABLE AND NOT RETURNABLE ONCE BOUGHT.</strong><br>No warranty. Clearance item. What you see is what you get. View physically at 69 Sungei Kadut Drive, Singapore 729568 before purchase.<br><br>#coffeetable #nestingtable #walnutfurniture #ovaltable #clearancefurniture #sofacolony #whatyouseewhatyouget #homesg</p>",Sofa Colony,Coffee Tables,"coffee table, nesting table, dark walnut nesting table, oval coffee table, walnut coffee table singapore, living room, modern, clearance, singapore, nesting coffee table set",TRUE,,,,,,,,SC-NWT-CT-DWL,14000,shopify,1,deny,manual,399.00,,TRUE,TRUE,,https://cdn.shopify.com/placeholder,1,Dark Walnut Oval Nesting Coffee Table Set Singapore,FALSE,Dark Walnut Oval Nesting Coffee Table Set | Sofa Colony Singapore,Set of 2 dark walnut wood-effect oval nesting coffee tables with light grey arc-frame base. Clearance $399. Shop Sofa Colony Singapore.,,,,,,,,,,,,,,kg,,,active
light-grey-pu-leather-geometric-dining-chair,Light Grey PU Leather Geometric Dining Chair,"<p>Upgrade your dining space with the Light Grey PU Leather Geometric Dining Chair. The sculpted geometric backrest with decorative edge stitching gives this chair a distinct modern character, while the smooth light grey PU leather seat ensures comfort through every meal. Slim black metal legs complete the contemporary look.</p><ul><li>Light grey PU leather upholstery</li><li>Sculpted geometric backrest</li><li>Decorative edge stitching detail</li><li>Slim black metal legs</li><li>Sold individually — clearance unit</li></ul><hr><p><strong>NOTE: THIS IS A CLEARANCE PRODUCT AND IT IS NOT REFUNDABLE AND NOT RETURNABLE ONCE BOUGHT.</strong><br>No warranty. Clearance item. What you see is what you get. View physically at 69 Sungei Kadut Drive, Singapore 729568 before purchase.<br><br>#diningchair #geometricchair #greychair #diningroomsg #clearancefurniture #sofacolony #whatyouseewhatyouget #homesg</p>",Sofa Colony,Dining Chairs,"dining chair, grey dining chair, PU leather dining chair, geometric dining chair, dining chair singapore, modern dining chair, clearance, singapore",TRUE,,,,,,,,SC-GDC-CH-GRY,8000,shopify,1,deny,manual,50.00,,TRUE,TRUE,,https://cdn.shopify.com/placeholder,1,Light Grey PU Leather Geometric Dining Chair Singapore,FALSE,Light Grey PU Leather Geometric Dining Chair | Sofa Colony Singapore,Light grey PU leather geometric dining chair with sculpted back and black metal legs. Clearance $50 each. Shop Sofa Colony Singapore.,,,,,,,,,,,,,,kg,,,active
taupe-pu-leather-slim-dining-chair,Taupe PU Leather Slim Dining Chair,"<p>Clean, minimal, and timeless — the Taupe PU Leather Slim Dining Chair is the versatile dining staple every home needs. The smooth wraparound back in warm taupe PU leather pairs effortlessly with any dining table, while the slim tapered dark legs keep the look light and refined.</p><ul><li>Warm taupe PU leather upholstery</li><li>Slim wraparound back design</li><li>Tapered dark wood legs</li><li>Minimalist contemporary style</li><li>Sold individually — clearance unit</li></ul><hr><p><strong>NOTE: THIS IS A CLEARANCE PRODUCT AND IT IS NOT REFUNDABLE AND NOT RETURNABLE ONCE BOUGHT.</strong><br>No warranty. Clearance item. What you see is what you get. View physically at 69 Sungei Kadut Drive, Singapore 729568 before purchase.<br><br>#diningchair #taupechair #slimchair #diningroomsg #clearancefurniture #sofacolony #whatyouseewhatyouget #homesg</p>",Sofa Colony,Dining Chairs,"dining chair, taupe dining chair, PU leather dining chair, slim dining chair, dining chair singapore, minimalist dining chair, clearance, singapore",TRUE,,,,,,,,SC-SDC-CH-TPE,8000,shopify,1,deny,manual,50.00,,TRUE,TRUE,,https://cdn.shopify.com/placeholder,1,Taupe PU Leather Slim Dining Chair Singapore,FALSE,Taupe PU Leather Slim Dining Chair | Sofa Colony Singapore,Taupe PU leather slim dining chair with wraparound back and tapered dark legs. Clearance $50 each. Shop Sofa Colony Singapore.,,,,,,,,,,,,,,kg,,,active
